elapsed_secs,iter,best_score,incumbent_score,temp
16.69,1000,133351,132076,0.0031804523592670413
32.04,2000,133706,133027,0.001928800672090661
47.51,3000,134177,134177,0.0011697304698865965
63.57,4000,134413,134307,0.001
77.80,5000,134535,134279,0.001
91.69,6000,134535,134397,0.001
105.82,7000,134622,134552,0.001
119.06,8000,134658,134260,0.001
133.17,9000,134658,134639,0.001
147.03,10000,134658,134062,0.001
160.84,11000,134658,134391,0.001
175.50,12000,134658,134415,0.001
190.06,13000,134658,134108,0.001
205.31,14000,134658,134142,0.001
224.73,15000,134658,134325,0.001
241.77,16000,134658,134470,0.001
258.37,17000,134765,134234,0.001
276.20,18000,134765,134743,0.001
293.38,19000,134946,134568,0.001
308.05,20000,134946,133991,0.001
322.36,21000,134946,134690,0.001
337.47,22000,134946,134763,0.001
351.25,23000,134946,134855,0.001
365.77,24000,134946,134349,0.001
379.44,25000,134946,134733,0.001
392.77,26000,134946,134654,0.001
405.88,27000,134946,134921,0.001
419.27,28000,134946,134196,0.001
433.20,29000,134946,134836,0.001
446.53,30000,134946,134555,0.001
460.16,31000,134946,134777,0.001
473.68,32000,134946,134551,0.001
487.64,33000,134946,134452,0.001
501.42,34000,134946,134338,0.001
515.21,35000,134946,134351,0.001
529.37,36000,134946,134628,0.001
542.69,37000,134946,134590,0.001
555.86,38000,134946,134905,0.001
569.76,39000,134969,134496,0.001
583.62,40000,134969,134926,0.001
596.01,41000,135000,134558,0.001
609.72,42000,135000,134833,0.001
623.33,43000,135000,134769,0.001
637.15,44000,135000,134807,0.001
650.55,45000,135007,134927,0.001
664.40,46000,135007,134555,0.001
679.06,47000,135007,134428,0.001
693.05,48000,135007,134572,0.001
706.94,49000,135007,134381,0.001
720.72,50000,135007,134642,0.001
734.91,51000,135007,134552,0.001
748.42,52000,135007,134933,0.001
762.12,53000,135045,134928,0.001
775.67,54000,135063,134807,0.001
789.42,55000,135063,134835,0.001
803.45,56000,135063,134632,0.001
818.20,57000,135063,134070,0.001
831.88,58000,135063,134789,0.001
846.68,59000,135075,134895,0.001
859.90,60000,135075,134629,0.001
873.23,61000,135171,135171,0.001
887.02,62000,135171,134705,0.001
900.27,63000,135181,134823,0.001
913.69,64000,135181,134930,0.001
927.49,65000,135225,135065,0.001
941.23,66000,135225,134802,0.001
955.08,67000,135225,135096,0.001
968.34,68000,135317,135004,0.001
982.04,69000,135317,135189,0.001
994.97,70000,135317,135016,0.001
1007.81,71000,135317,135196,0.001
1021.40,72000,135317,134984,0.001
1035.35,73000,135317,135103,0.001
1048.22,74000,135317,135123,0.001
1061.27,75000,135317,134651,0.001
1074.71,76000,135317,134730,0.001
1088.24,77000,135317,134448,0.001
1101.99,78000,135317,134556,0.001
1115.76,79000,135317,135061,0.001
1128.59,80000,135317,134646,0.001
1142.40,81000,135317,134863,0.001
1156.08,82000,135317,134862,0.001
1169.48,83000,135317,135162,0.001
1182.62,84000,135317,134442,0.001
1196.38,85000,135317,135140,0.001
1209.37,86000,135317,135129,0.001
1222.24,87000,135317,134818,0.001
1235.13,88000,135317,135081,0.001
1247.99,89000,135317,135110,0.001
1261.34,90000,135317,134943,0.001
1274.96,91000,135317,134580,0.001
1287.69,92000,135317,135037,0.001
1300.86,93000,135317,134982,0.001
1314.38,94000,135317,134600,0.001
1327.53,95000,135317,135058,0.001
1340.70,96000,135317,134749,0.001
1354.02,97000,135317,135077,0.001
1367.41,98000,135317,135108,0.001
1380.91,99000,135317,134950,0.001
1394.11,100000,135317,134831,0.001
1407.46,101000,135317,135149,0.001
1421.15,102000,135317,134884,0.001
1434.71,103000,135317,134829,0.001
1447.85,104000,135317,135026,0.001
1461.30,105000,135317,135165,0.001
1474.13,106000,135317,135146,0.001
1487.34,107000,135317,134925,0.001
1501.17,108000,135317,134920,0.001
1514.63,109000,135317,134985,0.001
1528.40,110000,135317,135174,0.001
1543.37,111000,135317,134875,0.001
1559.68,112000,135317,134992,0.001
1573.92,113000,135317,134467,0.001
1587.14,114000,135317,134878,0.001
1600.48,115000,135317,134904,0.001
1613.64,116000,135317,135130,0.001
1626.98,117000,135333,135280,0.001
1641.22,118000,135333,134843,0.001
1657.96,119000,135333,135204,0.001
1671.56,120000,135372,135365,0.001
1685.37,121000,135393,135219,0.001
1698.99,122000,135393,134859,0.001
1714.22,123000,135405,135262,0.001
1727.59,124000,135405,135391,0.001
1741.16,125000,135405,135138,0.001
1754.48,126000,135405,134942,0.001
1769.34,127000,135405,134367,0.001
1784.30,128000,135405,135209,0.001
1799.91,129000,135405,135189,0.001
